Time,Open,High,Low,Close,Volume 
2007.12.31 00:00:00,112.285,112.3,111.3,111.65,647249
2008.01.01 00:00:00,111.65,112.09,111.25,111.835,31424
2008.01.02 00:00:00,111.83,111.92,109.215,109.245,1196647
2008.01.03 00:00:00,109.25,109.74,108.24,109.51,1111885
2008.01.04 00:00:00,109.51,109.54,107.9,108.6,2081381
2008.01.05 00:00:00,108.6,108.6,108.6,108.6,0
2008.01.06 00:00:00,108.45,108.75,108.37,108.62,43518
2008.01.07 00:00:00,108.62,109.735,108.56,109.245,1353074
2008.01.08 00:00:00,109.245,109.825,108.78,108.97,2080598
2008.01.09 00:00:00,108.97,110.12,108.82,109.89,1318079
2008.01.10 00:00:00,109.89,110.08,109.11,109.615,1165683
2008.01.11 00:00:00,109.615,109.715,108.63,108.78,1048460
2008.01.12 00:00:00,108.78,108.78,108.78,108.78,0
2008.01.13 00:00:00,108.97,108.98,108.58,108.85,17120
2008.01.14 00:00:00,108.85,108.96,107.37,108.265,767747
2008.01.15 00:00:00,108.265,108.265,106.585,106.765,776922
2008.01.16 00:00:00,106.76,107.92,105.915,107.35,1677520
2008.01.17 00:00:00,107.35,107.87,106.35,106.405,1569960
2008.01.18 00:00:00,106.405,107.585,106.375,106.9,992730
2008.01.19 00:00:00,106.9,106.9,106.9,106.9,0
2008.01.20 00:00:00,106.63,106.94,106.6,106.885,28619
2008.01.21 00:00:00,106.89,106.975,105.62,105.64,816440
2008.01.22 00:00:00,105.64,107.21,105.61,107.1,2077433
2008.01.23 00:00:00,107.1,107.38,104.945,106.75,2214613
2008.01.24 00:00:00,106.75,107.23,105.94,107.17,2065365
2008.01.25 00:00:00,107.17,107.89,106.61,106.66,1782914
2008.01.26 00:00:00,106.66,106.66,106.66,106.66,0
2008.01.27 00:00:00,106.81,106.895,106.605,106.76,246126
2008.01.28 00:00:00,106.76,107.14,105.995,106.98,3214419
2008.01.29 00:00:00,106.98,107.23,106.38,107.07,2638178
2008.01.30 00:00:00,107.07,107.46,106.01,106.21,2397227
2008.01.31 00:00:00,106.21,106.865,105.7,106.24,2002216
2008.02.01 00:00:00,106.24,106.735,105.755,106.56,1279216
2008.02.02 00:00:00,106.56,106.56,106.56,106.56,0
2008.02.03 00:00:00,106.57,106.74,106.4,106.6,54483
2008.02.04 00:00:00,106.6,107.09,106.55,106.7,545552
2008.02.05 00:00:00,106.7,107.74,106.38,106.54,434291
2008.02.06 00:00:00,106.54,106.785,106.18,106.375,862307
2008.02.07 00:00:00,106.375,107.82,105.9,107.315,284282
2008.02.08 00:00:00,107.315,107.73,107.14,107.28,205008
2008.02.09 00:00:00,107.28,107.28,107.28,107.28,0
2008.02.10 00:00:00,107.34,107.66,107.17,107.455,8136
2008.02.11 00:00:00,107.455,107.48,106.34,106.86,174537
2008.02.12 00:00:00,106.86,107.525,106.8,107.35,401020
2008.02.13 00:00:00,107.35,108.37,106.99,108.275,176802
2008.02.14 00:00:00,108.275,108.61,107.645,107.805,132162
2008.02.15 00:00:00,107.805,108.31,107.26,107.7,118549
2008.02.16 00:00:00,107.7,107.7,107.7,107.7,0
2008.02.17 00:00:00,107.8,108.28,107.72,107.8,19643
2008.02.18 00:00:00,107.8,108.32,107.75,108.185,83921
2008.02.19 00:00:00,108.185,108.28,107.205,107.94,145296
2008.02.20 00:00:00,107.94,108.37,107.47,108.04,178288
2008.02.21 00:00:00,108.04,108.33,107.15,107.42,137702
2008.02.22 00:00:00,107.42,107.57,106.72,107.21,135443
2008.02.23 00:00:00,107.21,107.21,107.21,107.21,0
2008.02.24 00:00:00,107.21,107.48,107.14,107.35,4058
2008.02.25 00:00:00,107.35,108.22,107.225,108.04,280777
2008.02.26 00:00:00,108.04,108.14,107.15,107.37,437979
2008.02.27 00:00:00,107.38,107.385,105.95,106.395,1495448
2008.02.28 00:00:00,106.395,106.64,104.67,104.93,858252
2008.02.29 00:00:00,104.93,105.005,103.62,103.68,451978
2008.03.01 00:00:00,103.68,103.68,103.68,103.68,0
2008.03.02 00:00:00,103.88,103.88,103.055,103.08,23029
2008.03.03 00:00:00,103.09,103.705,102.615,103.53,506712
2008.03.04 00:00:00,103.53,103.56,102.65,103.385,275225
2008.03.05 00:00:00,103.385,104.18,103.27,103.92,1337197
2008.03.06 00:00:00,103.92,104,102.445,102.575,879331
2008.03.07 00:00:00,102.575,103.24,101.42,102.65,1037599
2008.03.08 00:00:00,102.65,102.65,102.65,102.65,0
2008.03.09 00:00:00,102.82,102.82,102.08,102.27,148965
2008.03.10 00:00:00,102.27,102.44,101.42,101.465,992467
2008.03.11 00:00:00,101.465,103.59,101.42,103.27,592296
2008.03.12 00:00:00,103.27,103.33,101.1,101.485,1385001
2008.03.13 00:00:00,101.485,101.68,99.765,100.69,638732
2008.03.14 00:00:00,100.69,101.15,98.89,99.08,1079545
2008.03.15 00:00:00,99.08,99.08,99.08,99.08,0
2008.03.16 00:00:00,99,99.28,98.06,98.15,107969
2008.03.17 00:00:00,98.15,98.18,95.71,97.1,1520044
2008.03.18 00:00:00,97.1,100.44,96.84,99.845,900448
2008.03.19 00:00:00,99.845,100.11,97.66,98.64,543070
2008.03.20 00:00:00,98.64,100.21,98.45,99.36,690979
2008.03.21 00:00:00,99.36,99.74,99.265,99.53,923274
2008.03.22 00:00:00,99.53,99.53,99.53,99.53,0
2008.03.23 00:00:00,99.54,99.61,99.29,99.61,172387
2008.03.24 00:00:00,99.61,100.89,99.57,100.75,1118217
2008.03.25 00:00:00,100.75,101.05,99.62,100.08,850112
