Time,Open,High,Low,Close,Volume 
2007.12.31 00:00:00,0.9808,0.99925,0.97633,0.99801,86543.22
2008.01.01 00:00:00,0.998,0.99853,0.99139,0.99345,25030.6
2008.01.02 00:00:00,0.9935,0.9972,0.9863,0.9947,154781.36
2008.01.03 00:00:00,0.9947,0.99685,0.9873,0.9896,151159.72
2008.01.04 00:00:00,0.98945,1.00483,0.98435,1.00228,215764.75
2008.01.05 00:00:00,1.00228,1.00228,1.00228,1.00228,0
2008.01.06 00:00:00,1.00257,1.0035,1.0001,1.00065,17484.2
2008.01.07 00:00:00,1.00065,1.0083,0.99705,1.006,399092.22
2008.01.08 00:00:00,1.006,1.0079,0.9967,1.00525,304226.6
2008.01.09 00:00:00,1.00525,1.01245,1.00215,1.0099,314374.97
2008.01.10 00:00:00,1.0099,1.01525,1.00525,1.0092,450312.94
2008.01.11 00:00:00,1.0092,1.0223,1.0071,1.0191,668389.25
2008.01.12 00:00:00,1.0191,1.0191,1.0191,1.0191,0
2008.01.13 00:00:00,1.0192,1.02095,1.01808,1.0192,22035.275
2008.01.14 00:00:00,1.0192,1.0214,1.01495,1.0178,646466.94
2008.01.15 00:00:00,1.0178,1.0202,1.01265,1.0184,571443.25
2008.01.16 00:00:00,1.0184,1.02865,1.0154,1.0232,732746.25
2008.01.17 00:00:00,1.0232,1.03095,1.01825,1.0297,609500.56
2008.01.18 00:00:00,1.0297,1.03105,1.0218,1.0249,443240.3
2008.01.19 00:00:00,1.0249,1.0249,1.0249,1.0249,0
2008.01.20 00:00:00,1.02677,1.028,1.02534,1.0277,44805.4
2008.01.21 00:00:00,1.0277,1.0362,1.02716,1.0362,252761.33
2008.01.22 00:00:00,1.0362,1.03815,1.0209,1.0277,718660.9
2008.01.23 00:00:00,1.0277,1.0319,1.02235,1.0237,963498.1
2008.01.24 00:00:00,1.02395,1.02585,1.00165,1.0048,476432.28
2008.01.25 00:00:00,1.00485,1.0112,1.0024,1.00838,442940.8
2008.01.26 00:00:00,1.00838,1.00838,1.00838,1.00838,0
2008.01.27 00:00:00,1.00755,1.01066,1.00643,1.00925,33188.2
2008.01.28 00:00:00,1.0092,1.012,1.0024,1.005,417112.34
2008.01.29 00:00:00,1.0051,1.0072,0.99455,0.99885,340335.44
2008.01.30 00:00:00,0.99885,1.0003,0.98735,0.9956,335604.06
2008.01.31 00:00:00,0.9956,1.00885,0.99275,1.0017,452329.2
2008.02.01 00:00:00,1.0017,1.0038,0.99186,0.99505,264758
2008.02.02 00:00:00,0.99505,0.99505,0.99505,0.99505,0
2008.02.03 00:00:00,0.99391,0.9959,0.9936,0.99565,22899.8
2008.02.04 00:00:00,0.99565,1.0015,0.9923,0.9945,237331.25
2008.02.05 00:00:00,0.9945,1.0085,0.99375,1.008,469410.16
2008.02.06 00:00:00,1.008,1.0104,1.00075,1.00755,508219
2008.02.07 00:00:00,1.00755,1.0129,1.0046,1.0097,138549.75
2008.02.08 00:00:00,1.0097,1.0105,0.9949,0.9996,102838.98
2008.02.09 00:00:00,0.9996,0.9996,0.9996,0.9996,0
2008.02.10 00:00:00,0.99948,1.00211,0.99879,0.9998,13916.15
2008.02.11 00:00:00,0.9998,1.00355,0.99585,1.0027,79720.37
2008.02.12 00:00:00,1.0027,1.0044,0.9939,1.00095,83913.03
2008.02.13 00:00:00,1.00095,1.003,0.99665,0.99825,65370.4
2008.02.14 00:00:00,0.9982,1.00175,0.99385,1.00035,62021.4
2008.02.15 00:00:00,1.00035,1.01135,0.9921,1.00723,49999.516
2008.02.16 00:00:00,1.00723,1.00723,1.00723,1.00723,0
2008.02.17 00:00:00,1.00701,1.00993,1.00629,1.00845,16890.82
2008.02.18 00:00:00,1.00845,1.00995,1.005,1.008,47104.926
2008.02.19 00:00:00,1.008,1.01785,1.0022,1.0157,318694.9
2008.02.20 00:00:00,1.0157,1.0199,1.0107,1.0128,194895.25
2008.02.21 00:00:00,1.0128,1.01435,1.0068,1.01175,67723.05
2008.02.22 00:00:00,1.01175,1.0169,1.0074,1.01402,91452.336
2008.02.23 00:00:00,1.01402,1.01402,1.01402,1.01402,0
2008.02.24 00:00:00,1.01262,1.0133,1.01049,1.01225,4625.1
2008.02.25 00:00:00,1.01225,1.0125,0.9949,0.9957,171763.16
2008.02.26 00:00:00,0.9957,0.99855,0.9785,0.98215,329803.78
2008.02.27 00:00:00,0.98215,0.9833,0.976,0.9816,787178.25
2008.02.28 00:00:00,0.9816,0.9825,0.9713,0.97645,818944
2008.02.29 00:00:00,0.97645,0.98914,0.97555,0.98725,574073
2008.03.01 00:00:00,0.98725,0.98725,0.98725,0.98725,0
2008.03.02 00:00:00,0.98602,0.987,0.9838,0.9844,122811.7
2008.03.03 00:00:00,0.9844,0.99345,0.9829,0.98925,318353.62
2008.03.04 00:00:00,0.98925,0.9979,0.9855,0.99445,354663.38
2008.03.05 00:00:00,0.99445,0.9955,0.9836,0.9853,378094.12
2008.03.06 00:00:00,0.9853,0.98905,0.982,0.98505,385222.44
2008.03.07 00:00:00,0.98505,0.99255,0.97455,0.99051,690483.56
2008.03.08 00:00:00,0.99051,0.99051,0.99051,0.99051,0
2008.03.09 00:00:00,0.98988,0.9906,0.9883,0.9899,97778.3
2008.03.10 00:00:00,0.9899,0.9984,0.98595,0.9964,801450.3
2008.03.11 00:00:00,0.9964,0.9974,0.9895,0.99195,500577.4
2008.03.12 00:00:00,0.99195,0.9938,0.9838,0.99045,650974.75
2008.03.13 00:00:00,0.99045,0.99185,0.9798,0.985,494617.75
2008.03.14 00:00:00,0.985,0.99665,0.9818,0.98838,668024
2008.03.15 00:00:00,0.98838,0.98838,0.98838,0.98838,0
2008.03.16 00:00:00,0.9893,0.99155,0.9861,0.989,75584.35
2008.03.17 00:00:00,0.989,1.0016,0.9864,0.9951,1079448.6
2008.03.18 00:00:00,0.995,0.99855,0.9889,0.99035,751802.6
2008.03.19 00:00:00,0.99035,1.0175,0.9877,1.0121,476771.6
2008.03.20 00:00:00,1.0121,1.0296,1.012,1.02264,549101.56
2008.03.21 00:00:00,1.0233,1.027,1.02219,1.0229,996089.1
2008.03.22 00:00:00,1.0229,1.0229,1.0229,1.0229,0
2008.03.23 00:00:00,1.023,1.02665,1.02261,1.0262,210644.2
2008.03.24 00:00:00,1.0262,1.03105,1.01575,1.0189,510503.03
2008.03.25 00:00:00,1.0189,1.0224,1.0128,1.0185,438912.56
2008.03.26 00:00:00,1.0185,1.0208,1.0096,1.01905,373414.34
2008.03.27 00:00:00,1.01905,1.0235,1.0129,1.0165,487737.6
2008.03.28 00:00:00,1.0165,1.0234,1.0145,1.02239,337567.78
2008.03.29 00:00:00,1.02239,1.02239,1.02239,1.02239,0
2008.03.30 00:00:00,1.02263,1.0234,1.02123,1.02325,62542.9
2008.03.31 00:00:00,1.02325,1.02945,1.0193,1.02635,651689.5
2008.04.01 00:00:00,1.02635,1.0328,1.02075,1.0234,744201.5
2008.04.02 00:00:00,1.0234,1.02455,1.01325,1.0143,400703.9
2008.04.03 00:00:00,1.0143,1.0169,1.0028,1.005,569302.9
2008.04.04 00:00:00,1.005,1.0104,1.0021,1.0082,261861.62
2008.04.05 00:00:00,1.0082,1.0082,1.0082,1.0082,0
2008.04.06 00:00:00,1.00916,1.0105,1.0071,1.0078,209196.7
2008.04.07 00:00:00,1.0078,1.0155,1.0041,1.01285,364735.84
2008.04.08 00:00:00,1.01285,1.0175,1.0108,1.01515,785353.25
2008.04.09 00:00:00,1.01515,1.022,1.0127,1.0194,358203.44
2008.04.10 00:00:00,1.0194,1.0227,1.01575,1.0182,139413.08
2008.04.11 00:00:00,1.0182,1.025,1.01335,1.02338,81323.766
2008.04.12 00:00:00,1.02338,1.02338,1.02338,1.02338,0
2008.04.13 00:00:00,1.02353,1.0278,1.02331,1.02515,12378.2
2008.04.14 00:00:00,1.02515,1.0275,1.0178,1.0203,98803.16
2008.04.15 00:00:00,1.0203,1.024,1.0166,1.018,161168.36
2008.04.16 00:00:00,1.018,1.0188,1.0002,1.0013,180687.39
2008.04.17 00:00:00,1.0013,1.01445,0.9988,1.0107,131368.27
2008.04.18 00:00:00,1.0107,1.0148,1.00275,1.00431,121281.805
2008.04.19 00:00:00,1.00431,1.00431,1.00431,1.00431,0
2008.04.20 00:00:00,1.0044,1.0069,1.00405,1.0063,20717.7
2008.04.21 00:00:00,1.0063,1.0095,1,1.0061,70033.35
2008.04.22 00:00:00,1.0061,1.0156,1.00265,1.0083,108303.04
2008.04.23 00:00:00,1.0083,1.02165,1.00615,1.0174,66581.11
2008.04.24 00:00:00,1.0174,1.0213,1.0123,1.0148,89550.76
2008.04.25 00:00:00,1.0148,1.02055,1.0123,1.01362,50538.492
2008.04.26 00:00:00,1.01362,1.01362,1.01362,1.01362,0
2008.04.27 00:00:00,1.01392,1.0153,1.0103,1.0105,15240.95
2008.04.28 00:00:00,1.01045,1.0185,1.0067,1.0129,41619.797
2008.04.29 00:00:00,1.0129,1.01665,1.01105,1.0127,31186.055
2008.04.30 00:00:00,1.01265,1.0145,1.0038,1.0076,55538.85
2008.05.01 00:00:00,1.0076,1.0239,1.00657,1.01821,51399.734
2008.05.02 00:00:00,1.01816,1.0245,1.0149,1.0194,49315.773
2008.05.03 00:00:00,1.0194,1.0194,1.0194,1.0194,0
2008.05.04 00:00:00,1.01933,1.0202,1.01825,1.0198,5499.6
2008.05.05 00:00:00,1.0198,1.0199,1.0114,1.0115,57848.21
2008.05.06 00:00:00,1.0115,1.01465,1.00005,1.0023,84519.49
2008.05.07 00:00:00,1.00255,1.01315,1.00075,1.0128,54551.29
2008.05.08 00:00:00,1.0127,1.0182,1.0086,1.0175,45053.082
2008.05.09 00:00:00,1.0174,1.0174,1.0047,1.00541,42266.613
2008.05.10 00:00:00,1.00541,1.00541,1.00541,1.00541,0
2008.05.11 00:00:00,1.0053,1.00735,1.0051,1.0068,8023.8
2008.05.12 00:00:00,1.0068,1.0108,1.0026,1.00537,22613.8
2008.05.13 00:00:00,1.0057,1.0095,0.99855,1.00359,24859.8
2008.05.14 00:00:00,1.00369,1.00685,0.99645,1.0048,24920.299
2008.05.15 00:00:00,1.0047,1.0063,0.9991,1.0007,25153.309
2008.05.16 00:00:00,1.0007,1.0021,0.99435,0.99908,28686.254
2008.05.17 00:00:00,0.99908,0.99908,0.99908,0.99908,0
2008.05.18 00:00:00,0.9991,1.0005,0.99895,1,4450.8
2008.05.19 00:00:00,1,1.00015,0.99,0.9923,38767.234
2008.05.20 00:00:00,0.9923,0.9961,0.9875,0.9921,82592.25
2008.05.21 00:00:00,0.9919,0.9921,0.98205,0.9838,53524.47
2008.05.22 00:00:00,0.9838,0.98765,0.98285,0.9853,34385.28
2008.05.23 00:00:00,0.9853,0.9902,0.98365,0.98968,37468.293
2008.05.24 00:00:00,0.98968,0.98968,0.98968,0.98968,0
2008.05.25 00:00:00,0.98935,0.98967,0.9873,0.98733,8187.56
2008.05.26 00:00:00,0.9876,0.99345,0.98624,0.991,36967.48
2008.05.27 00:00:00,0.991,0.995,0.987,0.99379,47400.414
2008.05.28 00:00:00,0.9939,0.99595,0.98815,0.9889,64467.22
2008.05.29 00:00:00,0.9889,0.99225,0.98255,0.9901,35938.785
2008.05.30 00:00:00,0.99,0.9981,0.9876,0.99445,72239.414
2008.05.31 00:00:00,0.99445,0.99445,0.99445,0.99445,0
2008.06.01 00:00:00,0.99385,0.996,0.99323,0.9956,3067.5
2008.06.02 00:00:00,0.9955,1.0029,0.993,1.0008,71446.81
2008.06.03 00:00:00,1.0008,1.0099,0.997,1.0091,28088.166
2008.06.04 00:00:00,1.009,1.0192,1.0082,1.0164,31193.533
2008.06.05 00:00:00,1.0164,1.0222,1.0143,1.0178,27674.365
2008.06.06 00:00:00,1.0178,1.02175,1.01635,1.01838,27053.7
2008.06.07 00:00:00,1.01838,1.01838,1.01838,1.01838,0
2008.06.08 00:00:00,1.01916,1.0197,1.0176,1.0179,3362.9
2008.06.09 00:00:00,1.0179,1.02445,1.0153,1.02258,26741.5
2008.06.10 00:00:00,1.02259,1.03245,1.0197,1.0229,67051.29
2008.06.11 00:00:00,1.0229,1.0247,1.01555,1.0204,52383.44
2008.06.12 00:00:00,1.02055,1.028,1.01977,1.02197,139943.61
2008.06.13 00:00:00,1.0223,1.0306,1.02189,1.02927,89949.71
2008.06.14 00:00:00,1.02927,1.02927,1.02927,1.02927,0
2008.06.15 00:00:00,1.02935,1.0298,1.027,1.0294,7491.7705
2008.06.16 00:00:00,1.0294,1.03,1.0198,1.02445,156948.81
2008.06.17 00:00:00,1.0243,1.025,1.0169,1.0181,140089
2008.06.18 00:00:00,1.018,1.0213,1.0168,1.0178,133266.6
2008.06.19 00:00:00,1.01747,1.0191,1.0111,1.0158,126203.7
2008.06.20 00:00:00,1.0158,1.0197,1.0103,1.01703,144769
2008.06.21 00:00:00,1.01703,1.01703,1.01703,1.01703,0
2008.06.22 00:00:00,1.01707,1.01725,1.0133,1.0141,17651.152
2008.06.23 00:00:00,1.0141,1.0193,1.0139,1.0159,95339.734
2008.06.24 00:00:00,1.01582,1.0174,1.01107,1.0127,74014.55
2008.06.25 00:00:00,1.0125,1.0145,1.0089,1.0099,157518.27
2008.06.26 00:00:00,1.00995,1.0146,1.0083,1.0132,125128.86
2008.06.27 00:00:00,1.0135,1.01351,1.005,1.01112,131368.64
2008.06.28 00:00:00,1.01112,1.01112,1.01112,1.01112,0
2008.06.29 00:00:00,1.01067,1.0124,1.0094,1.00992,7974.7
2008.06.30 00:00:00,1.00991,1.02185,1.00645,1.0204,207078.95
2008.07.01 00:00:00,1.0204,1.02415,1.0145,1.02245,133072.2
2008.07.02 00:00:00,1.02245,1.0229,1.009,1.0126,165033.5
2008.07.03 00:00:00,1.0126,1.0221,1.0123,1.01873,136819.14
2008.07.04 00:00:00,1.019,1.02075,1.0141,1.01958,80064.234
2008.07.05 00:00:00,1.01958,1.01958,1.01958,1.01958,0
2008.07.06 00:00:00,1.0197,1.01995,1.01762,1.0181,10412.9
2008.07.07 00:00:00,1.0181,1.02335,1.0151,1.01813,102006.05
2008.07.08 00:00:00,1.01825,1.02335,1.0158,1.0197,108333.37
2008.07.09 00:00:00,1.01965,1.0197,1.0099,1.0109,117373.25
2008.07.10 00:00:00,1.0109,1.01365,1.00775,1.00905,101138.805
2008.07.11 00:00:00,1.009,1.01805,1.007,1.00806,162971.39
2008.07.12 00:00:00,1.00806,1.00806,1.00806,1.00806,0
2008.07.13 00:00:00,1.00955,1.00982,1.0069,1.00871,8083.7
2008.07.14 00:00:00,1.0088,1.0142,1.0045,1.0068,167027.1
2008.07.15 00:00:00,1.0068,1.00698,0.99755,1.0015,187218.3
2008.07.16 00:00:00,1.0015,1.00495,0.9998,1.0009,136218.97
2008.07.17 00:00:00,1.0009,1.00815,0.99805,1.005,156444.61
2008.07.18 00:00:00,1.0049,1.008,1.0024,1.00575,127506.336
2008.07.19 00:00:00,1.00575,1.00575,1.00575,1.00575,0
2008.07.20 00:00:00,1.00553,1.0075,1.00471,1.0068,6171
2008.07.21 00:00:00,1.0068,1.00705,0.9993,1.0012,115955.1
2008.07.22 00:00:00,1.0012,1.0117,1.00013,1.00785,157153.97
2008.07.23 00:00:00,1.00785,1.0119,1.00585,1.0113,187219.58
2008.07.24 00:00:00,1.0113,1.01705,1.0078,1.0149,157107.2
2008.07.25 00:00:00,1.0149,1.0208,1.0129,1.01943,140392.34
2008.07.26 00:00:00,1.01943,1.01943,1.01943,1.01943,0
2008.07.27 00:00:00,1.0197,1.02025,1.01828,1.02005,4871.5
2008.07.28 00:00:00,1.0199,1.0246,1.0175,1.0224,152989.98
2008.07.29 00:00:00,1.02245,1.0274,1.02032,1.0242,152197.31
2008.07.30 00:00:00,1.0242,1.0272,1.0218,1.0237,109116.74
2008.07.31 00:00:00,1.0237,1.0266,1.0215,1.0237,134661.27
2008.08.01 00:00:00,1.0238,1.0298,1.0232,1.02509,134516.73
2008.08.02 00:00:00,1.02509,1.02509,1.02509,1.02509,0
2008.08.03 00:00:00,1.02703,1.0288,1.02606,1.0283,7001.6
2008.08.04 00:00:00,1.0283,1.0373,1.02641,1.0368,156040.4
2008.08.05 00:00:00,1.0367,1.04535,1.0367,1.043,173227.52
2008.08.06 00:00:00,1.043,1.0496,1.0402,1.0478,144177.81
2008.08.07 00:00:00,1.0478,1.05415,1.04505,1.0522,104267.73
2008.08.08 00:00:00,1.0522,1.06985,1.0521,1.06726,201855.16
2008.08.09 00:00:00,1.06726,1.06726,1.06726,1.06726,0
2008.08.10 00:00:00,1.06723,1.0692,1.06541,1.0674,7958.9
2008.08.11 00:00:00,1.0674,1.0717,1.06135,1.06925,153170.6
2008.08.12 00:00:00,1.06925,1.07295,1.06165,1.0671,215276.7
2008.08.13 00:00:00,1.0672,1.07175,1.0589,1.06275,185917.16
2008.08.14 00:00:00,1.0627,1.06595,1.0564,1.06585,176090.2
2008.08.15 00:00:00,1.06585,1.0695,1.0583,1.05914,113383.22
2008.08.16 00:00:00,1.05914,1.05914,1.05914,1.05914,0
2008.08.17 00:00:00,1.05897,1.06055,1.05875,1.05903,8275.5
2008.08.18 00:00:00,1.0591,1.06515,1.0545,1.0643,122214.5
2008.08.19 00:00:00,1.0643,1.06695,1.0595,1.0605,142342.19
2008.08.20 00:00:00,1.0606,1.0654,1.05755,1.05995,162202.77
2008.08.21 00:00:00,1.0599,1.06005,1.0425,1.0448,200033.06
2008.08.22 00:00:00,1.0448,1.049,1.0422,1.04644,185755.06
2008.08.23 00:00:00,1.04644,1.04644,1.04644,1.04644,0
2008.08.24 00:00:00,1.04698,1.05037,1.04611,1.047,13933
2008.08.25 00:00:00,1.0471,1.0528,1.0442,1.0515,118104.02
2008.08.26 00:00:00,1.05135,1.0563,1.0413,1.0489,157843.36
2008.08.27 00:00:00,1.0488,1.0497,1.0429,1.0464,120459.4
2008.08.28 00:00:00,1.0464,1.0539,1.04315,1.05125,175091.9
2008.08.29 00:00:00,1.05114,1.06505,1.0471,1.06348,169685.19
2008.08.30 00:00:00,1.06348,1.06348,1.06348,1.06348,0
2008.08.31 00:00:00,1.06365,1.06395,1.05935,1.06235,7808.4
2008.09.01 00:00:00,1.0623,1.06985,1.0615,1.06807,96768.46
2008.09.02 00:00:00,1.0685,1.0749,1.0662,1.06905,171140.62
2008.09.03 00:00:00,1.069,1.0778,1.0579,1.0613,178359.77
2008.09.04 00:00:00,1.0613,1.07325,1.0544,1.06915,176224.6
2008.09.05 00:00:00,1.06915,1.07145,1.06035,1.06212,201650.38
2008.09.06 00:00:00,1.06212,1.06212,1.06212,1.06212,0
2008.09.07 00:00:00,1.06217,1.06442,1.05563,1.0595,13937.9
2008.09.08 00:00:00,1.05945,1.07155,1.0552,1.0657,208091.64
2008.09.09 00:00:00,1.0658,1.07305,1.0605,1.0711,197246.4
2008.09.10 00:00:00,1.0711,1.07485,1.0658,1.0742,166993.5
2008.09.11 00:00:00,1.0743,1.0823,1.0702,1.0748,145421.78
2008.09.12 00:00:00,1.0748,1.07565,1.0588,1.05997,139324.06
2008.09.13 00:00:00,1.05997,1.05997,1.05997,1.05997,0
2008.09.14 00:00:00,1.05993,1.0666,1.05884,1.0631,15734.8
2008.09.15 00:00:00,1.06305,1.07555,1.05725,1.0695,167633.16
2008.09.16 00:00:00,1.0695,1.075,1.0673,1.0678,156571.27
2008.09.17 00:00:00,1.0677,1.081,1.06175,1.0708,210350.12
2008.09.18 00:00:00,1.0708,1.0728,1.058,1.06225,175836.94
2008.09.19 00:00:00,1.06225,1.0671,1.0432,1.04697,148035.66
2008.09.20 00:00:00,1.04697,1.04697,1.04697,1.04697,0
2008.09.21 00:00:00,1.04672,1.05095,1.04484,1.0482,9610.1
2008.09.22 00:00:00,1.0481,1.0517,1.0316,1.03405,144339.05
2008.09.23 00:00:00,1.03375,1.0402,1.03065,1.0355,160008.4
2008.09.24 00:00:00,1.0355,1.0396,1.0315,1.03749,132541.6
2008.09.25 00:00:00,1.03714,1.0378,1.03,1.0328,141297.5
2008.09.26 00:00:00,1.03275,1.0375,1.03143,1.03164,130642.29
2008.09.27 00:00:00,1.03164,1.03164,1.03164,1.03164,0
2008.09.28 00:00:00,1.03348,1.03685,1.03222,1.0345,8813.3
2008.09.29 00:00:00,1.0345,1.049,1.0336,1.04746,138467.36
2008.09.30 00:00:00,1.04775,1.06655,1.04445,1.0619,133515
2008.10.01 00:00:00,1.0623,1.0665,1.05485,1.06415,147252.95
2008.10.02 00:00:00,1.0641,1.08105,1.06212,1.0799,124918.12
2008.10.03 00:00:00,1.0799,1.0846,1.0729,1.08208,152308.5
2008.10.04 00:00:00,1.08208,1.08208,1.08208,1.08208,0
2008.10.05 00:00:00,1.08275,1.0857,1.08159,1.085,11674.5
2008.10.06 00:00:00,1.08495,1.109,1.0833,1.10085,190276.47
2008.10.07 00:00:00,1.1008,1.10895,1.09535,1.107,166635.25
2008.10.08 00:00:00,1.107,1.12995,1.0999,1.1274,2136044.2
2008.10.09 00:00:00,1.12725,1.1559,1.11905,1.15445,2817832.2
2008.10.10 00:00:00,1.15435,1.213,1.1532,1.17537,2295476
2008.10.11 00:00:00,1.17537,1.17537,1.17537,1.17537,0
2008.10.12 00:00:00,1.17308,1.17782,1.15711,1.16899,70449.3
2008.10.13 00:00:00,1.16925,1.18055,1.14185,1.142,1683841.8
