Time,Open,High,Low,Close,Volume 
2007.12.31 00:00:00,14.771,14.93,14.517,14.634,380.85
2008.01.01 00:00:00,14.751,14.832,14.557,14.728,126.35
2008.01.02 00:00:00,14.759,15.296,14.612,15.19,426.55
2008.01.03 00:00:00,15.187,15.396,14.907,15.254,448
2008.01.04 00:00:00,15.322,15.443,14.958,15.26,503.05
2008.01.05 00:00:00,15.26,15.26,15.26,15.26,0
2008.01.06 00:00:00,15.135,15.348,15.071,15.179,27.95
2008.01.07 00:00:00,15.189,15.367,14.945,15.129,450.1
2008.01.08 00:00:00,15.026,15.751,14.993,15.596,473.85
2008.01.09 00:00:00,15.617,16.122,15.36,15.697,510.15
2008.01.10 00:00:00,15.652,16.234,15.171,16.062,511.2
2008.01.11 00:00:00,16.066,16.276,15.803,16.2,551.2
2008.01.12 00:00:00,16.2,16.2,16.2,16.2,0
2008.01.13 00:00:00,16.155,16.259,16.048,16.128,19.8
2008.01.14 00:00:00,16.132,16.571,15.98,16.276,433.05
2008.01.15 00:00:00,16.262,16.531,15.681,15.878,492.75
2008.01.16 00:00:00,15.94,16.156,15.526,15.721,503.55
2008.01.17 00:00:00,15.682,16.084,15.575,15.758,471.85
2008.01.18 00:00:00,15.708,16.323,15.489,16.15,522.25
2008.01.19 00:00:00,16.15,16.15,16.15,16.15,0
2008.01.20 00:00:00,16.034,16.172,15.97,16.09,28.45
2008.01.21 00:00:00,16.052,16.203,15.314,15.412,452.4
2008.01.22 00:00:00,15.412,16.181,15.039,15.937,537.45
2008.01.23 00:00:00,15.963,16.156,15.522,16.031,498.1
2008.01.24 00:00:00,16.031,16.454,15.792,16.359,492.75
2008.01.25 00:00:00,16.34,16.617,16.119,16.45,537.1
2008.01.26 00:00:00,16.45,16.45,16.45,16.45,0
2008.01.27 00:00:00,16.372,16.519,16.275,16.457,27.6
2008.01.28 00:00:00,16.473,16.736,16.156,16.582,451.65
2008.01.29 00:00:00,16.62,16.83,16.322,16.694,454.4
2008.01.30 00:00:00,16.671,16.889,16.4,16.654,462.7
2008.01.31 00:00:00,16.651,17,16.474,16.841,443.1
2008.02.01 00:00:00,16.809,17.289,16.534,16.76,527.15
2008.02.02 00:00:00,16.76,16.76,16.76,16.76,0
2008.02.03 00:00:00,16.704,16.853,16.6,16.706,23.5
2008.02.04 00:00:00,16.741,16.887,16.227,16.663,406.3
2008.02.05 00:00:00,16.709,16.725,16.105,16.276,442
2008.02.06 00:00:00,16.268,16.664,16.026,16.406,454.95
2008.02.07 00:00:00,16.422,16.835,16.302,16.689,426.7
2008.02.08 00:00:00,16.732,17.21,16.591,17.19,527.85
2008.02.09 00:00:00,17.19,17.19,17.19,17.19,0
2008.02.10 00:00:00,17.061,17.186,16.954,17.125,29.05
2008.02.11 00:00:00,17.129,17.566,16.928,17.294,474.85
2008.02.12 00:00:00,17.403,17.593,16.965,17.16,455.6
2008.02.13 00:00:00,17.047,17.341,16.693,17.29,477.95
2008.02.14 00:00:00,17.265,17.487,16.948,17.242,422.2
2008.02.15 00:00:00,17.1,17.48,16.795,17.07,423.05
2008.02.16 00:00:00,17.07,17.07,17.07,17.07,0
2008.02.17 00:00:00,16.922,17.095,16.87,17.039,21.5
2008.02.18 00:00:00,17.008,17.236,16.748,17.082,337.35
2008.02.19 00:00:00,17.095,17.592,16.907,17.463,414.2
