Time,Open,High,Low,Close,Volume 
2007.12.31 00:00:00,1.4737,1.47495,1.4566,1.4585,3008339
2008.01.01 00:00:00,1.4585,1.4633,1.4573,1.46205,224708
2008.01.02 00:00:00,1.46205,1.47515,1.4597,1.47175,4456623
2008.01.03 00:00:00,1.4717,1.4782,1.4688,1.4745,3586757
2008.01.04 00:00:00,1.4745,1.48265,1.4696,1.4751,2918039
2008.01.05 00:00:00,1.4751,1.4751,1.4751,1.4751,0
2008.01.06 00:00:00,1.4751,1.47585,1.4741,1.4749,31964
2008.01.07 00:00:00,1.4749,1.47525,1.4659,1.4683,1735616
2008.01.08 00:00:00,1.4683,1.47445,1.46815,1.4708,1203001
2008.01.09 00:00:00,1.4708,1.47435,1.464,1.4663,1369836
2008.01.10 00:00:00,1.4663,1.48145,1.4642,1.48,1491549
2008.01.11 00:00:00,1.48,1.48205,1.4762,1.4778,2152486
2008.01.12 00:00:00,1.4778,1.4778,1.4778,1.4778,0
2008.01.13 00:00:00,1.4776,1.48185,1.4771,1.4807,44320
2008.01.14 00:00:00,1.4807,1.4916,1.47965,1.48675,1982180
2008.01.15 00:00:00,1.48675,1.4924,1.4777,1.48045,1756261
2008.01.16 00:00:00,1.48045,1.48605,1.45955,1.46625,3169673
2008.01.17 00:00:00,1.46625,1.4716,1.459,1.4641,2320877
2008.01.18 00:00:00,1.4641,1.4696,1.4594,1.4622,1214532
2008.01.19 00:00:00,1.4622,1.4622,1.4622,1.4622,0
2008.01.20 00:00:00,1.4615,1.4625,1.45885,1.4598,22130
2008.01.21 00:00:00,1.4598,1.46005,1.4412,1.44195,1013507
2008.01.22 00:00:00,1.44195,1.46855,1.4366,1.46445,1422552
2008.01.23 00:00:00,1.46445,1.4651,1.4511,1.46295,1212100
2008.01.24 00:00:00,1.46295,1.478,1.45925,1.4772,1997129
2008.01.25 00:00:00,1.4772,1.4774,1.4661,1.4671,3005684
2008.01.26 00:00:00,1.4671,1.4671,1.4671,1.4671,0
2008.01.27 00:00:00,1.4671,1.471,1.467,1.4692,251426
2008.01.28 00:00:00,1.4692,1.4799,1.4662,1.4786,3607982
2008.01.29 00:00:00,1.4786,1.4788,1.4738,1.47695,2998197
2008.01.30 00:00:00,1.4769,1.49075,1.4756,1.4829,3635807
2008.01.31 00:00:00,1.4829,1.49145,1.4803,1.4865,2015357
2008.02.01 00:00:00,1.4865,1.4958,1.47865,1.4805,1811399
2008.02.02 00:00:00,1.4805,1.4805,1.4805,1.4805,0
2008.02.03 00:00:00,1.4798,1.4812,1.4791,1.48035,55942
2008.02.04 00:00:00,1.48035,1.485,1.4794,1.4827,694686
2008.02.05 00:00:00,1.4827,1.4832,1.46225,1.4636,583243
2008.02.06 00:00:00,1.4636,1.4672,1.4592,1.46145,692994
2008.02.07 00:00:00,1.46145,1.4652,1.44395,1.44765,668401
2008.02.08 00:00:00,1.44765,1.4548,1.4451,1.45,643639
2008.02.09 00:00:00,1.45,1.45,1.45,1.45,0
2008.02.10 00:00:00,1.4511,1.4529,1.4498,1.4527,8433
2008.02.11 00:00:00,1.4527,1.4578,1.4482,1.4501,426670
2008.02.12 00:00:00,1.4501,1.4616,1.4497,1.4581,1145683
2008.02.13 00:00:00,1.4581,1.4599,1.4532,1.4555,213957
2008.02.14 00:00:00,1.4555,1.46495,1.455,1.4643,200777
2008.02.15 00:00:00,1.4643,1.47105,1.4632,1.4683,230893
2008.02.16 00:00:00,1.4683,1.4683,1.4683,1.4683,0
2008.02.17 00:00:00,1.4677,1.4684,1.4668,1.46735,33584
2008.02.18 00:00:00,1.46735,1.4691,1.4611,1.46495,270072
2008.02.19 00:00:00,1.46495,1.4757,1.4643,1.47295,578882
